Unnamed: 0,set_num,set_year,top_5_similar_sets,set_name,set_img_url,theme_id,theme_name,num_parts,A0A5A9,FFFFFF,C91A09,6C6E68,237841,05131D,184632,AA7F2E,F5CD2F,582A12,F2CD37,E4ADC8,AEEFEC,635F52,F08F1C,FCFCFC,0020A0,84B68D,BBE90B,D9E4A7,0055BF,9CA3A8,F8F184,DF6695,E4CD9E,0A3463,720E0F,FF800D,958A73,898788,352100,3F3691,A5A5CB,DBAC34,3E3C39,A95500,923978,4B9F4A,A5A9B4,ADC3C0,C870A0,AA7D55,9BA19D,6D6E5C,F8BB3D,9B9A5A,36AEBF,AC78BA,9FC3E9,E1D5ED,078BC9,FE8A18,FFF03A,DFEEA5,008F9B,5A93DB,A0BCAC,FF698F,D9D9D9,CFE2F7,D09168,E0E0E0,BBA53D,AA4D8E,1B2A34,F2F3F2,583927,764D3B,6074A1,B46A00,575857,C0F500,68BCC5,F6D7B3,BDC6AD,D67572,81007B,FA9C1C,FFA70B,AE7A59,7DBFDD,EBD800,CE1D9B,8320B7,CCA373,755945,x,y
688,5005040-1,2015,"['41751-1', '30633-1', '41058-1', '41704-1', '5006824-1']",I Love That Minifigure,https://cdn.rebrickable.com/media/sets/5005040-1.jpg,497,Books,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.7429000842337,466.3445677124268
689,5005159-1,2016,"['71741-1', '71799-1', '71705-1', '41130-1', '41101-1']",Star Wars: Build Your Own Adventure,https://cdn.rebrickable.com/media/sets/5005159-1.jpg,497,Books,73,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374.41307492597247,398.86152658221226
690,5005166-1,2016,"['71705-1', '71737-1', '71708-1', '71767-1', '71765-1']",Ninjago: Character Encyclopedia: Updated and Expanded,https://cdn.rebrickable.com/media/sets/5005166-1.jpg,497,Books,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457.5904066084427,382.4215335361065
691,5005174-1,2016,"['71741-1', '41101-1', '71799-1', '41449-1', '41130-1']",City: Build Your Own Adventure,https://cdn.rebrickable.com/media/sets/5005174-1.jpg,497,Books,99,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.6016596067788,383.5424167854927
692,5005230-1,2018,"['71741-1', '71799-1', '71705-1', '75290-1', '41663-1']",Zane's Kendo Training Pod,https://cdn.rebrickable.com/media/sets/5005230-1.jpg,435,Ninjago,28,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.92822481812743,143.58171893659406
693,5005236-1,2018,"['71741-1', '71799-1', '71705-1', '41732-1', '41436-1']",Friends Clubhouse,https://cdn.rebrickable.com/media/sets/5005236-1.jpg,494,Friends,29,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.2479718928635,311.1591350792432
694,5005237-1,2018,"['71741-1', '71799-1', '41101-1', '41732-1', '41668-1']",Friendship Rings,https://cdn.rebrickable.com/media/sets/5005237-1.jpg,494,Friends,31,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.3284134923319,298.6405615065739
695,5005238-1,2018,"['71741-1', '41101-1', '41130-1', '71799-1', '71754-1']",Pet Go-Kart Racers,https://cdn.rebrickable.com/media/sets/5005238-1.jpg,494,Friends,60,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.06057521531513,398.3620637926288
696,5005376-1,2018,"['71741-1', '71799-1', '41101-1', '71737-1', '71705-1']",Darth Vader,https://cdn.rebrickable.com/media/sets/5005376-1.jpg,158,Star Wars,37,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308.2468300126737,245.9578217623372
697,5005379-1,2017,[],DC Comics Super Heroes: The Awesome Guide,https://cdn.rebrickable.com/media/sets/5005379-1.jpg,497,Books,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.5122513298184,375.4693643346101
698,5005608-1,2018,[],Science: A LEGO Adventure in the Real World,https://cdn.rebrickable.com/media/sets/5005608-1.jpg,497,Books,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484.4099608210128,367.0119732261594
699,5005629-1,2015,"['71736-1', '6211-1', '41130-1', '71737-1', '75092-1']",Chain Reactions,https://cdn.rebrickable.com/media/sets/5005629-1.jpg,497,Books,40,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.3490192733837,356.8562018092377
700,5005655-1,2018,"['71741-1', '71799-1', '41101-1', '41130-1', '71705-1']",Disney Princess: Build Your Own Adventure,https://cdn.rebrickable.com/media/sets/5005655-1.jpg,497,Books,83,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442.1304007071671,401.9638119582516
701,5005656-1,2018,"['71741-1', '41130-1', '71799-1', '41400-1', '71705-1']",Ninjago: Build Your Own Adventure: Greatest Ninja Battles,https://cdn.rebrickable.com/media/sets/5005656-1.jpg,497,Books,72,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.6568458220939,495.52699826928495
702,5005666-1,2018,"['71741-1', '71799-1', '71705-1', '41101-1', '41130-1']",Animal Atlas,https://cdn.rebrickable.com/media/sets/5005666-1.jpg,497,Books,60,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427.9129992331128,448.87455428327337
703,5005695-1,2018,"['71741-1', '41400-1', '71799-1', '3315-1', '41008-1']",Ninjago: Ninja vs. Dragon Hunters,https://cdn.rebrickable.com/media/sets/5005695-1.jpg,497,Books,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.42429320424833,420.8635846944888
704,5005697-1,2018,"['9780241295168-1', '9788325338220-1', '9788325340070-1', '9788325340599-1', '30530-1']",Countdown to Christmas,https://cdn.rebrickable.com/media/sets/5005697-1.jpg,497,Books,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.5581640397912,382.2687587374092
705,5005738-1,2019,[],Sticker Roll,https://cdn.rebrickable.com/media/sets/5005738-1.jpg,501,Gear,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.87402152835844,213.75116714579644
706,5005904-1,2019,"['71741-1', '71799-1', '41130-1', '71705-1', '41400-1']",Christmas Ideas,https://cdn.rebrickable.com/media/sets/5005904-1.jpg,497,Books,41,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.53517358412205,426.733298567384
707,5005905-1,2019,"['71741-1', '71799-1', '41101-1', '71705-1', '41732-1']",Harry Potter: Build Your Own Adventure,https://cdn.rebrickable.com/media/sets/5005905-1.jpg,497,Books,101,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.0256615024716,406.5887713231785
708,5005947-1,2019,"['41403-1', '75203-1', '9783960807483-1', '71754-1', '41376-1']",Jurassic World: Jurassic Hero,https://cdn.rebrickable.com/media/sets/5005947-1.jpg,497,Books,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.68640037044,416.7583000183719
709,5005948-1,2019,"['71741-1', '71705-1', '71735-1', '71737-1', '71797-1']",Ninjago: Wielkie Starcie,https://cdn.rebrickable.com/media/sets/5005948-1.jpg,497,Books,16,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.5041519222668,463.8946962937628
710,5005967-1,2019,"['71741-1', '71799-1', '41101-1', '41732-1', '41436-1']",Disney Princess: Meet the Princesses,https://cdn.rebrickable.com/media/sets/5005967-1.jpg,497,Books,25,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442.6451646657184,363.9792721773029
711,5006044-1,2019,"['71741-1', '71799-1', '41101-1', '71705-1', '41130-1']",Amazing Vehicles,https://cdn.rebrickable.com/media/sets/5006044-1.jpg,497,Books,61,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.25073218964366,391.6578385438348
712,5006058-1,2019,"['71741-1', '75021-1', '9551-1', '7676-1', '71735-1']","Ninjago: Visual Dictionary, New Edition",https://cdn.rebrickable.com/media/sets/5006058-1.jpg,497,Books,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.2717150585004,427.32437124968754
713,5006097-1,2019,"['71741-1', '71799-1', '41101-1', '41130-1', '71705-1']",The Book of Bedtime Builds,https://cdn.rebrickable.com/media/sets/5006097-1.jpg,497,Books,68,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376.0880184910924,450.6355346031151
714,5006256-1,2020,"['71705-1', '71735-1', '71737-1', '71708-1', '71739-1']",Ninjago: Choose Your Ninja Mission,https://cdn.rebrickable.com/media/sets/5006256-1.jpg,497,Books,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415.16271424872656,385.2811142687399
715,5006257-1,2020,"['71741-1', '71735-1', '75053-1', '75290-1', '71799-1']",Star Wars: Character Encyclopedia: New Edition,https://cdn.rebrickable.com/media/sets/5006257-1.jpg,497,Books,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.52052693350765,501.9410646739536
716,5006290-1,2020,"['71741-1', '71799-1', '41101-1', '71705-1', '41130-1']",Yoda's Lightsaber,https://cdn.rebrickable.com/media/sets/5006290-1.jpg,158,Star Wars,140,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.83779185699274,238.4204980382152
717,5006655-1,2021,[],Porsche Welcome Pack,https://cdn.rebrickable.com/media/sets/5006655-1.jpg,501,Gear,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.20602448939222,212.05584372883908
718,5006771-1,2021,['5006772-1'],VIDIYO Sticker Sheet,https://cdn.rebrickable.com/media/sets/5006771-1.jpg,501,Gear,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.51694269258228,243.23946395478487
719,5006772-1,2021,['5006771-1'],VIDIYO VIP Welcome Pack,https://cdn.rebrickable.com/media/sets/5006772-1.jpg,501,Gear,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.00700762726058,237.09004308392545
720,5006806-1,2020,"['71741-1', '71799-1', '41101-1', '71705-1', '75053-1']",City: Build Your Own Adventure: Catch The Crooks,https://cdn.rebrickable.com/media/sets/5006806-1.jpg,497,Books,70,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425.3920850545928,382.3890089321625
721,5006807-1,2020,"['71741-1', '71799-1', '71705-1', '41101-1', '41732-1']",Cute Ideas,https://cdn.rebrickable.com/media/sets/5006807-1.jpg,497,Books,35,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.06830611552755,457.45601699014907
722,5006809-1,2020,"['71741-1', '71799-1', '41101-1', '71705-1', '41130-1']",The LEGO Games Book,https://cdn.rebrickable.com/media/sets/5006809-1.jpg,497,Books,45,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489.3402705047108,400.40376699441
723,5006824-1,2018,"['71741-1', '41410-1', '41378-1', '41101-1', '71754-1']",Make Your Own Movie,https://cdn.rebrickable.com/media/sets/5006824-1.jpg,497,Books,36,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.69018566824224,410.1151497568296
724,5006851-1,2021,"['71741-1', '71799-1', '41101-1', '71705-1', '41130-1']",Super Nature,https://cdn.rebrickable.com/media/sets/5006851-1.jpg,497,Books,51,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.2202204140076,398.4558269365189
725,5006853-1,2021,"['41662-1', '71735-1', '71741-1', '41402-1', '41407-1']",Star Wars: Yoda's Galaxy Atlas,https://cdn.rebrickable.com/media/sets/5006853-1.jpg,497,Books,7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.6532421447644,409.6362496568309
726,5006857-1,2021,[],Jurassic World: The Dino Files,https://cdn.rebrickable.com/media/sets/5006857-1.jpg,497,Books,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.5199555574432,431.48777939202336
727,5006880-1,2020,"['9780794449261-1', 'HPBOOK-1', '9781780559773-1', '3467702-1', '5005905-1']",Harry Potter: Magical Treasury: A Visual Guide to the Wizarding World,https://cdn.rebrickable.com/media/sets/5006880-1.jpg,497,Books,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357.0151727081935,400.2500091132225
728,5006883-1,2020,"['71741-1', '71799-1', '41732-1', '41101-1', '41435-1']",Halloween Ideas,https://cdn.rebrickable.com/media/sets/5006883-1.jpg,497,Books,30,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.6771004200429,420.4625225102743
729,5007024-1,2021,"['71705-1', '71737-1', '71708-1', '71767-1', '71765-1']",Anniversary Box,https://cdn.rebrickable.com/media/sets/5007024-1.jpg,497,Books,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.7566830295524,441.6153589435555
730,5007214-1,2021,"['9780794449261-1', 'HPBOOK-1', '9781780559773-1', '3467702-1', '5005905-1']",Harry Potter: Hogwarts at Christmas,https://cdn.rebrickable.com/media/sets/5007214-1.jpg,497,Books,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391.0319125582652,448.0751217379757
731,5007215-1,2021,"['71741-1', '71799-1', '71705-1', '41101-1', '75208-1']",Magical Ideas,https://cdn.rebrickable.com/media/sets/5007215-1.jpg,497,Books,32,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.9278562814259,470.2231254359077
732,5007289-1,2021,"['71737-1', '71754-1', '70724-1', '71705-1', '71738-1']",Brick Scooper Set,https://cdn.rebrickable.com/media/sets/5007289-1.jpg,501,Gear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.39211594231224,231.49449437685425
733,5007367-1,2020,"['9780794449261-1', 'HPBOOK-1', '9780794448073-1', '9781780558615-1', '41689-1']",Harry Potter: Magical Secrets,https://cdn.rebrickable.com/media/sets/5007367-1.jpg,497,Books,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.7287543452947,424.1646366911636
734,5007368-1,2020,"['41403-1', '75203-1', '71754-1', '5005947-1', '70594-1']",Jurassic World: Dinosaur Adventures,https://cdn.rebrickable.com/media/sets/5007368-1.jpg,497,Books,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430.3555780326645,391.1290318962299
735,5007369-1,2021,"['71741-1', '71799-1', '41670-1', '41400-1', '41130-1']",City: Stop the Fire!,https://cdn.rebrickable.com/media/sets/5007369-1.jpg,497,Books,20,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.6888462166306,423.6266791649206
