,set_num,top_5_similar_sets,set_name,set_img_url,theme_id,theme_name,num_parts,A0A5A9,FFFFFF,C91A09,6C6E68,237841,05131D,184632,AA7F2E,F5CD2F,582A12,F2CD37,E4ADC8,AEEFEC,635F52,F08F1C,FCFCFC,0020A0,84B68D,BBE90B,D9E4A7,0055BF,9CA3A8,F8F184,DF6695,E4CD9E,0A3463,720E0F,FF800D,958A73,898788,352100,3F3691,A5A5CB,DBAC34,3E3C39,A95500,923978,4B9F4A,A5A9B4,ADC3C0,C870A0,AA7D55,9BA19D,6D6E5C,F8BB3D,9B9A5A,36AEBF,AC78BA,9FC3E9,E1D5ED,078BC9,FE8A18,FFF03A,DFEEA5,008F9B,5A93DB,A0BCAC,FF698F,D9D9D9,CFE2F7,D09168,E0E0E0,BBA53D,AA4D8E,1B2A34,F2F3F2,583927,764D3B,6074A1,B46A00,575857,C0F500,68BCC5,F6D7B3,BDC6AD,D67572,81007B,FA9C1C,FFA70B,AE7A59,7DBFDD,EBD800,CE1D9B,8320B7,CCA373,755945
20,1838526773-1,"['75053-1', '75092-1', '75101-1', '75105-1', '75155-1']",Star Wars: Official Annual 2020,https://cdn.rebrickable.com/media/sets/1838526773-1.jpg,497,Books,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,19197480-1,"['70501-1', '70505-1', '70723-1', '70726-1', '2507-1']",Ninjago: Ninja vs. Constrictai,https://cdn.rebrickable.com/media/sets/19197480-1.jpg,497,Books,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,19198074-1,"['71741-1', '71799-1', '41130-1', '41101-1', '3315-1']",Ninjago: The Tournament of Elements,https://cdn.rebrickable.com/media/sets/19198074-1.jpg,497,Books,11,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,19741980-1,"['2257-1', '71739-1', '111903-1', '112007-1', '112112-1']",Ninjago: Ninja vs. Fangpyre,https://cdn.rebrickable.com/media/sets/19741980-1.jpg,497,Books,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,19801974-1,"['0756682762-1', '9780756672812-1', '9781338113686-1', '2519-1', '70627-1']",Ninjago: Ninja vs. Venomari,https://cdn.rebrickable.com/media/sets/19801974-1.jpg,497,Books,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,200-2,[],Building Ideas Book,https://cdn.rebrickable.com/media/sets/200-2.jpg,497,Books,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,20122014-1,"['71741-1', '71799-1', '41663-1', '41670-1', '71705-1']",Ninjago: Sons of Garmadon,https://cdn.rebrickable.com/media/sets/20122014-1.jpg,497,Books,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,20201214-1,"['71741-1', '71799-1', '71705-1', '41101-1', '41737-1']",Ninjago: Official Annual 2017,https://cdn.rebrickable.com/media/sets/20201214-1.jpg,497,Books,26,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,20201412-1,"['71741-1', '71799-1', '41101-1', '41130-1', '41670-1']",Ninjago: Official Annual 2016,https://cdn.rebrickable.com/media/sets/20201412-1.jpg,497,Books,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,20202030-1,"['71741-1', '41101-1', '71799-1', '41130-1', '41748-1']",Elves: Dragon Adventures,https://cdn.rebrickable.com/media/sets/20202030-1.jpg,497,Books,17,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,240-2,[],Idea Book,https://cdn.rebrickable.com/media/sets/240-2.jpg,497,Books,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,250-1,[],Idea Book 250,https://cdn.rebrickable.com/media/sets/250-1.jpg,497,Books,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,260-1,[],Idea Book 260,https://cdn.rebrickable.com/media/sets/260-1.jpg,497,Books,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2855113-1,"['71741-1', '71799-1', '41101-1', '71705-1', '41130-1']",Star Wars: Brickmaster,https://cdn.rebrickable.com/media/sets/2855113-1.jpg,497,Books,251,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3058-1,"['71741-1', '41101-1', '41130-1', '71799-1', '3315-1']",Busy City - Master Builders (Masterbuilders),https://cdn.rebrickable.com/media/sets/3058-1.jpg,497,Books,74,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3059-1,"['71741-1', '41101-1', '71799-1', '41130-1', '71705-1']",Mars Mission: Master Builders,https://cdn.rebrickable.com/media/sets/3059-1.jpg,497,Books,90,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,309314-1,"['71741-1', '41101-1', '71799-1', '41130-1', '41732-1']",City: Police on Alert!,https://cdn.rebrickable.com/media/sets/309314-1.jpg,497,Books,19,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
